,FIPS,County,DrugReports,Latitude,Longitude
82,21169,METCALFE,28,36.990394,-85.629554
83,21171,MONROE,48,36.714077,-85.71350799999999
84,21173,MONTGOMERY,201,38.038138000000004,-83.912338
85,21175,MORGAN,40,37.922940000000004,-83.258944
86,21177,MUHLENBERG,225,37.213815999999994,-87.13409200000001
87,21179,NELSON,359,37.803188,-85.46595500000001
88,21181,NICHOLAS,57,38.337132000000004,-84.025554
89,21183,OHIO,193,37.477859,-86.844871
90,21185,OLDHAM,116,38.400046,-85.456059
91,21187,OWEN,36,38.499603,-84.841509
92,21189,OWSLEY,12,37.423452000000005,-83.69156600000001
93,21191,PENDLETON,30,38.690765,-84.35404100000001
94,21193,PERRY,725,37.241282,-83.217772
95,21195,PIKE,349,37.482067,-82.402869
96,21197,POWELL,167,37.810379,-83.826985
97,21199,PULASKI,426,37.108312,-84.579986
98,21201,ROBERTSON,5,38.513826,-84.063757
99,21203,ROCKCASTLE,219,37.36122,-84.314419
100,21205,ROWAN,130,38.205894,-83.425969
101,21207,RUSSELL,100,36.989127,-85.058976
102,21209,SCOTT,185,38.289882,-84.579376
103,21211,SHELBY,214,38.239426,-85.22836
104,21213,SIMPSON,141,36.740863,-86.581464
105,21215,SPENCER,29,38.026976,-85.321525
106,21217,TAYLOR,156,37.365106,-85.326698
107,21219,TODD,33,36.840338,-87.183642
108,21221,TRIGG,32,36.807681,-87.858652
109,21223,TRIMBLE,47,38.618193,-85.355171
110,21225,UNION,37,37.658029,-87.95165
111,21227,WARREN,476,36.995634,-86.423579
112,21229,WASHINGTON,28,37.754209,-85.175416
113,21231,WAYNE,223,36.802011,-84.83044
114,21233,WEBSTER,46,37.520021,-87.68509499999999
115,21235,WHITLEY,226,36.758021,-84.14455
116,21237,WOLFE,45,37.743774,-83.495068
117,21239,WOODFORD,90,38.042789,-84.748147
118,39001,ADAMS,365,38.841681,-83.474173
119,39003,ALLEN,712,40.771528,-84.106546
120,39005,ASHLAND,1202,40.843274,-82.270121
121,39007,ASHTABULA,1200,41.906644,-80.745641
122,39009,ATHENS,698,39.333847999999996,-82.046008
123,39011,AUGLAIZE,251,40.561309,-84.224018
124,39013,BELMONT,446,40.017682,-80.967727
125,39015,BROWN,340,38.931377000000005,-83.866772
126,39017,BUTLER,2706,39.439915,-84.56539699999999
127,39019,CARROLL,56,40.579884,-81.090787
128,39021,CHAMPAIGN,275,40.132759,-83.767543
129,39023,CLARK,915,39.917032,-83.783676
130,39025,CLERMONT,1208,39.052084,-84.149614
131,39027,CLINTON,542,39.414041,-83.814542
132,39029,COLUMBIANA,1315,40.768462,-80.777231
133,39031,COSHOCTON,204,40.29672,-81.930112
134,39033,CRAWFORD,515,40.848508,-82.92477099999999
135,39035,CUYAHOGA,17469,41.760391999999996,-81.72421700000001
136,39037,DARKE,162,40.132176,-84.62043800000001
137,39039,DEFIANCE,658,41.321678999999996,-84.48643299999999
138,39041,DELAWARE,751,40.278940999999996,-83.007462
139,39043,ERIE,1267,41.554006,-82.525897
140,39045,FAIRFIELD,1294,39.752935,-82.628276
141,39047,FAYETTE,261,39.553845,-83.459327
142,39049,FRANKLIN,9594,39.969446999999995,-83.008258
143,39051,FULTON,144,41.597264,-84.124267
144,39053,GALLIA,516,38.817046000000005,-82.301746
145,39055,GEAUGA,253,41.499322,-81.173505
146,39057,GREENE,1323,39.687478999999996,-83.894894
147,39059,GUERNSEY,704,40.056665,-81.497875
148,39061,HAMILTON,17376,39.196927,-84.544187
149,39063,HANCOCK,941,41.000471000000005,-83.666034
150,39065,HARDIN,186,40.660415,-83.664077
151,39067,HARRISON,49,40.292318,-81.091565
152,39069,HENRY,27,41.335072,-84.06588199999999
153,39071,HIGHLAND,379,39.184488,-83.603668
154,39073,HOCKING,302,39.490342999999996,-82.48344499999999
155,39075,HOLMES,74,40.565309,-81.929869
156,39077,HURON,476,41.14508,-82.59464100000001
157,39079,JACKSON,749,39.013477,-82.614142
158,39081,JEFFERSON,268,40.399188,-80.76141
159,39083,KNOX,243,40.403620000000004,-82.422393
160,39085,LAKE,5849,41.924116,-81.392643
161,39087,LAWRENCE,330,38.603866,-82.517186
162,39089,LICKING,1418,40.093609,-82.481251
163,39091,LOGAN,258,40.387553000000004,-83.766343
164,39093,LORAIN,2662,41.438805,-82.179722
165,39095,LUCAS,2025,41.682321,-83.468867
166,39097,MADISON,468,39.896607,-83.400885
167,39099,MAHONING,2154,41.01088,-80.77039599999999
168,39101,MARION,743,40.588208,-83.172927
169,39103,MEDINA,895,41.116051,-81.89956600000001
170,39105,MEIGS,82,39.089807,-82.028397
171,39107,MERCER,119,40.535333,-84.632059
172,39109,MIAMI,742,40.053326,-84.228414
173,39111,MONROE,62,39.725969,-81.09065799999999
174,39113,MONTGOMERY,8767,39.755218,-84.29054599999999
175,39115,MORGAN,16,39.624946,-81.861699
176,39117,MORROW,260,40.525265999999995,-82.797729
177,39119,MUSKINGUM,597,39.966046,-81.943506
178,39121,NOBLE,37,39.767232,-81.45260400000001
179,39123,OTTAWA,187,41.544467,-83.009253
180,39125,PAULDING,99,41.119141,-84.57696700000001
181,39127,PERRY,228,39.743187,-82.237953
182,39129,PICKAWAY,190,39.648947,-83.05282700000001
183,39131,PIKE,152,39.071365,-83.052921
184,39133,PORTAGE,1616,41.16864,-81.19693199999999
185,39135,PREBLE,262,39.737906,-84.645358
186,39137,PUTNAM,43,41.024533,-84.129879
187,39139,RICHLAND,847,40.774167,-82.542715
188,39141,ROSS,545,39.323763,-83.059585
189,39143,SANDUSKY,789,41.355290999999994,-83.142735
190,39145,SCIOTO,772,38.815019,-82.99902800000001
191,39147,SENECA,361,41.120008,-83.127436
192,39149,SHELBY,406,40.33668,-84.204143
193,39151,STARK,4699,40.814131,-81.365667
194,39153,SUMMIT,1993,41.121851,-81.534936
195,39155,TRUMBULL,1501,41.308935999999996,-80.767656
196,39157,TUSCARAWAS,398,40.447441,-81.47115699999999
197,39159,UNION,260,40.295901,-83.367042
198,39161,VAN WERT,124,40.85552,-84.585775
199,39163,VINTON,182,39.252014,-82.485961
200,39165,WARREN,1502,39.425652,-84.16990600000001
201,39167,WASHINGTON,580,39.450684,-81.49065300000001
202,39169,WAYNE,847,40.829661,-81.887194
203,39171,WILLIAMS,39,41.564958000000004,-84.584323
204,39173,WOOD,607,41.360183,-83.622682
205,39175,WYANDOT,147,40.840121999999994,-83.313172
206,42001,ADAMS,475,39.869471000000004,-77.21773
207,42003,ALLEGHENY,9025,40.468920000000004,-79.98092
208,42005,ARMSTRONG,271,40.812379,-79.464128
209,42007,BEAVER,748,40.68414,-80.350721
210,42009,BEDFORD,144,39.997115,-78.48998
211,42011,BERKS,2780,40.413957,-75.92685999999999
212,42013,BLAIR,499,40.497926,-78.31064
213,42015,BRADFORD,219,41.791495,-76.502124
214,42017,BUCKS,447,40.336887,-75.10706
215,42019,BUTLER,400,40.913834,-79.91896
216,42021,CAMBRIA,721,40.494127,-78.715284
217,42025,CARBON,213,40.917833,-75.709428
218,42027,CENTRE,533,40.90916,-77.84783
219,42029,CHESTER,1521,39.973965,-75.749732
220,42031,CLARION,125,41.198239,-79.420404
221,42033,CLEARFIELD,178,41.000249,-78.473749
222,42035,CLINTON,155,41.245301,-77.649141
223,42037,COLUMBIA,392,41.045517,-76.40426
224,42039,CRAWFORD,645,41.686840000000004,-80.107811
225,42041,CUMBERLAND,103,40.164782,-77.26344
226,42043,DAUPHIN,2178,40.412565,-76.79263399999999
227,42045,DELAWARE,5364,39.91667,-75.398786
228,42047,ELK,82,41.427334,-78.653938
229,42049,ERIE,1387,42.117952,-80.096386
230,42051,FAYETTE,825,39.914115,-79.644586
231,42053,FOREST,14,41.513304,-79.249705
232,42055,FRANKLIN,407,39.926686,-77.724485
233,42057,FULTON,30,39.910751,-78.122617
234,42059,GREENE,204,39.848983000000004,-80.22569399999999
235,42061,HUNTINGDON,133,40.422321000000004,-77.96858399999999
236,42063,INDIANA,298,40.651432,-79.08754499999999
237,42065,JEFFERSON,60,41.130287,-78.999044
238,42067,JUNIATA,31,40.530673,-77.400438
239,42069,LACKAWANNA,1171,41.44025,-75.609587
240,42071,LANCASTER,1722,40.041992,-76.250198
241,42073,LAWRENCE,244,40.992734999999996,-80.334446
242,42075,LEBANON,1392,40.367344,-76.45800899999999
243,42077,LEHIGH,796,40.614241,-75.590627
244,42079,LUZERNE,2340,41.172787,-75.976035
245,42081,LYCOMING,677,41.343624,-77.05525300000001
246,42083,MCKEAN,292,41.81459,-78.572463
247,42085,MERCER,353,41.300014000000004,-80.252786
248,42087,MIFFLIN,225,40.61189,-77.620661
249,42089,MONROE,653,41.056233,-75.329037
250,42091,MONTGOMERY,275,40.209998999999996,-75.370201
251,42093,MONTOUR,76,41.029261,-76.66525899999999
252,42095,NORTHAMPTON,706,40.752790999999995,-75.307447
253,42097,NORTHUMBERLAND,258,40.851524,-76.709877
254,42099,PERRY,310,40.39778,-77.266328
255,42101,PHILADELPHIA,21194,40.009376,-75.133346
256,42103,PIKE,157,41.325949,-75.031514
257,42105,POTTER,55,41.748222,-77.894735
258,42107,SCHUYLKILL,1541,40.70369,-76.2178
259,42109,SNYDER,184,40.755348,-77.07295400000001
260,42111,SOMERSET,176,39.981297,-79.028486
261,42113,SULLIVAN,4,41.43979,-76.511525
262,42115,SUSQUEHANNA,216,41.819665,-75.800969
263,42117,TIOGA,56,41.766859000000004,-77.257288
264,42119,UNION,112,40.962179,-77.055475
265,42121,VENANGO,240,41.40198,-79.754418
266,42123,WARREN,48,41.843669,-79.31317299999999
267,42125,WASHINGTON,1054,40.200005,-80.25213199999999
268,42127,WAYNE,78,41.646589,-75.292485
269,42129,WESTMORELAND,1331,40.311068,-79.466688
270,42131,WYOMING,222,41.525137,-76.00878
271,42133,YORK,3610,39.921839,-76.72844599999999
272,51001,ACCOMACK,114,37.765944,-75.757807
273,51003,ALBEMARLE,286,38.024184000000005,-78.553506
274,51005,ALLEGHANY,177,37.787905,-80.008669
275,51007,AMELIA,12,37.336131,-77.973218
276,51009,AMHERST,211,37.630362,-79.147848
277,51011,APPOMATTOX,99,37.370725,-78.81094
278,51013,ARLINGTON,1173,38.878337,-77.100703
279,51015,AUGUSTA,469,38.167807,-79.146682
280,51017,BATH,14,38.068988,-79.73289799999999
281,51019,BEDFORD,282,37.312408000000005,-79.527947
282,51021,BLAND,32,37.130612,-81.125853
283,51023,BOTETOURT,209,37.553193,-79.805318
284,51025,BRUNSWICK,135,36.764531,-77.860916
285,51027,BUCHANAN,236,37.26812,-82.038151
286,51029,BUCKINGHAM,109,37.573928,-78.529169
287,51031,CAMPBELL,232,37.210151,-79.09542900000001
288,51033,CAROLINE,170,38.030319,-77.35234799999999
289,51035,CARROLL,362,36.732426000000004,-80.728043
290,51037,CHARLOTTE,50,37.014091,-78.661424
291,51041,CHESTERFIELD,1994,37.378434000000006,-77.585847
292,51043,CLARKE,46,39.115930999999996,-77.99200400000001
293,51045,CRAIG,4,37.473129,-80.231734
294,51047,CULPEPER,419,38.485929999999996,-77.956476
295,51049,CUMBERLAND,33,37.520189,-78.252836
296,51051,DICKENSON,134,37.137081,-82.34920799999999
297,51053,DINWIDDIE,64,37.073498,-77.635492
298,51057,ESSEX,114,37.939479999999996,-76.94187099999999
299,51059,FAIRFAX,4011,38.833743,-77.276117
300,51061,FAUQUIER,296,38.744103,-77.821585
301,51063,FLOYD,114,36.931438,-80.350309
302,51065,FLUVANNA,117,37.830606,-78.28444499999999
303,51067,FRANKLIN,385,36.99235,-79.88395899999999
304,51069,FREDERICK,443,39.203637,-78.26391600000001
305,51071,GILES,171,37.31193,-80.717178
306,51073,GLOUCESTER,135,37.403541,-76.523505
307,51075,GOOCHLAND,61,37.724166,-77.914273
308,51077,GRAYSON,131,36.656303,-81.225337
309,51079,GREENE,101,38.297981,-78.470163
310,51081,GREENSVILLE,51,36.680225,-77.560261
311,51083,HALIFAX,157,36.766461,-78.939614
312,51085,HANOVER,463,37.760166,-77.490992
313,51087,HENRICO,2128,37.437521000000004,-77.300333
314,51089,HENRY,214,36.620593,-79.980584
315,51093,ISLE OF WIGHT,170,36.901418,-76.70756899999999
316,51095,JAMES CITY,133,37.324427,-76.778319
317,51097,KING AND QUEEN,31,37.720995,-76.89109
318,51099,KING GEORGE,114,38.277179,-77.162702
319,51101,KING WILLIAM,34,37.708259999999996,-77.091054
320,51103,LANCASTER,62,37.703831,-76.413199
321,51105,LEE,233,36.702162,-83.13033399999999
322,51107,LOUDOUN,755,39.08113,-77.638857
323,51109,LOUISA,109,37.971681,-77.95917800000001
324,51111,LUNENBURG,44,36.945757,-78.242313
325,51113,MADISON,45,38.412059,-78.276961
326,51115,MATHEWS,46,37.425348,-76.26880799999999
327,51117,MECKLENBURG,199,36.687256,-78.368959
328,51119,MIDDLESEX,39,37.606828,-76.527958
329,51121,MONTGOMERY,1008,37.174884999999996,-80.387314
330,51125,NELSON,161,37.790015999999994,-78.87939399999999
331,51127,NEW KENT,57,37.498974,-76.993339
332,51131,NORTHAMPTON,81,37.302628999999996,-75.923868
333,51133,NORTHUMBERLAND,150,37.856974,-76.379687
334,51135,NOTTOWAY,68,37.143696000000006,-78.052162
335,51137,ORANGE,176,38.250439,-78.00998
336,51139,PAGE,230,38.623751,-78.490471
337,51141,PATRICK,276,36.667327,-80.286141
338,51143,PITTSYLVANIA,253,36.821721000000004,-79.39850200000001
339,51145,POWHATAN,111,37.549403999999996,-77.91285500000001
340,51147,PRINCE EDWARD,158,37.224880999999996,-78.432957
341,51149,PRINCE GEORGE,109,37.187326,-77.220993
342,51153,PRINCE WILLIAM,2039,38.702332,-77.478887
343,51155,PULASKI,431,37.063385,-80.713444
344,51157,RAPPAHANNOCK,9,38.684521999999994,-78.168824
345,51163,ROCKBRIDGE,306,37.814516999999995,-79.447754
346,51165,ROCKINGHAM,570,38.511257,-78.876307
347,51167,RUSSELL,189,36.93342,-82.095934
348,51169,SCOTT,328,36.712778,-82.61362700000001
349,51171,SHENANDOAH,427,38.856204,-78.573987
350,51173,SMYTH,680,36.842318,-81.53978599999999
351,51175,SOUTHAMPTON,52,36.720172999999996,-77.10385600000001
352,51177,SPOTSYLVANIA,948,38.182311,-77.65628000000001
353,51179,STAFFORD,856,38.418933,-77.45904300000001
354,51183,SUSSEX,45,36.926645,-77.259732
355,51185,TAZEWELL,912,37.125395000000005,-81.562924
356,51187,WARREN,442,38.908187,-78.207131
357,51191,WASHINGTON,469,36.747813,-81.950291
358,51193,WESTMORELAND,159,38.109190999999996,-76.80417
359,51195,WISE,366,36.974561,-82.62156
360,51197,WYTHE,492,36.901471,-81.084209
361,51199,YORK,238,37.220914,-76.395533
362,51510,ALEXANDRIA CITY,101,38.818343,-77.082026
363,51530,BUENA VISTA CITY,6,37.731663,-79.356375
364,51540,CHARLOTTESVILLE CITY,16,38.037658,-78.485381
365,51550,CHESAPEAKE CITY,140,36.679376,-76.301788
366,51570,COLONIAL HEIGHTS CITY,10,37.261685,-77.396804
367,51590,DANVILLE CITY,42,36.583334,-79.40807099999999
368,51600,FAIRFAX CITY,76,38.853183,-77.299025
369,51620,FRANKLIN CITY,10,36.684014000000005,-76.941396
370,51630,FREDERICKSBURG CITY,32,38.299271999999995,-77.48665799999999
371,51640,GALAX CITY,10,36.66564,-80.91430799999999
372,51650,HAMPTON CITY,83,37.04803,-76.297149
373,51660,HARRISONBURG CITY,58,38.436013,-78.874197
374,51670,HOPEWELL CITY,20,37.29101,-77.29894399999999
375,51680,LYNCHBURG CITY,62,37.399015999999996,-79.195458
376,51683,MANASSAS CITY,9,38.747561,-77.484727
377,51690,MARTINSVILLE CITY,21,36.683527000000005,-79.863648
378,51700,NEWPORT NEWS CITY,159,37.075978000000006,-76.52171899999999
379,51710,NORFOLK CITY,164,36.923015,-76.244641
380,51730,PETERSBURG CITY,14,37.20473,-77.392368
381,51740,PORTSMOUTH CITY,80,36.859429999999996,-76.356269
382,51750,RADFORD,9,37.120036,-80.557048
383,51760,RICHMOND,418,37.531399,-77.47600899999999
384,51770,ROANOKE,689,37.27783,-79.958472
385,51775,SALEM,20,37.285333,-80.05524100000001
386,51790,STAUNTON CITY,11,38.158056,-79.061501
387,51800,SUFFOLK CITY,45,36.697157000000004,-76.634781
388,51810,VIRGINIA BEACH CITY,167,36.779322,-76.02402
389,51840,WINCHESTER CITY,43,39.173869,-78.17635600000001
390,54001,BARBOUR,4,39.139753999999996,-79.996914
391,54003,BERKELEY,301,39.457854,-78.032338
392,54005,BOONE,20,38.022838,-81.713314
393,54007,BRAXTON,104,38.699302,-80.731649
394,54011,CABELL,226,38.419579999999996,-82.243392
395,54013,CALHOUN,18,38.844159000000005,-81.115478
396,54017,DODDRIDGE,31,39.263482,-80.70114699999999
397,54019,FAYETTE,23,38.030933000000005,-81.086051
398,54021,GILMER,45,38.915865000000004,-80.849409
399,54023,GRANT,16,39.105988,-79.195064
400,54025,GREENBRIER,137,37.924418,-80.45059
401,54027,HAMPSHIRE,22,39.31214,-78.61198900000001
402,54029,HANCOCK,94,40.516931,-80.57005699999999
403,54031,HARDY,26,39.010818,-78.843641
404,54033,HARRISON,478,39.279199,-80.386487
405,54035,JACKSON,76,38.834234,-81.677717
406,54037,JEFFERSON,91,39.307399,-77.86322
407,54039,KANAWHA,695,38.328061,-81.523522
408,54041,LEWIS,38,38.988844,-80.495518
409,54045,LOGAN,312,37.830591,-81.940853
410,54047,MCDOWELL,71,37.382663,-81.65820500000001
411,54049,MARION,205,39.505839,-80.243402
412,54051,MARSHALL,112,39.854717,-80.671378
413,54053,MASON,24,38.759288,-82.024172
414,54055,MERCER,404,37.403448,-81.10645600000001
415,54057,MINERAL,26,39.405626,-78.956581
416,54059,MINGO,13,37.721151,-82.15899300000001
417,54061,MONONGALIA,20,39.633645,-80.059074
418,54063,MONROE,20,37.550353,-80.547891
419,54065,MORGAN,38,39.554835,-78.25731400000001
420,54067,NICHOLAS,294,38.291416,-80.797516
421,54069,OHIO,88,40.098932,-80.620728
422,54075,POCAHONTAS,35,38.332513,-80.01209200000001
423,54079,PUTNAM,25,38.510513,-81.906109
424,54081,RALEIGH,420,37.76247,-81.26467099999999
425,54083,RANDOLPH,117,38.781087,-79.867783
426,54085,RITCHIE,8,39.177112,-81.066317
427,54087,ROANE,10,38.743033000000004,-81.354502
428,54089,SUMMERS,4,37.656003000000005,-80.85631500000001
429,54095,TYLER,22,39.465981,-80.87949300000001
430,54097,UPSHUR,61,38.902537,-80.231335
431,54099,WAYNE,49,38.145531,-82.419698
432,54101,WEBSTER,59,38.492985,-80.430262
433,54103,WETZEL,7,39.596574,-80.634394
434,54105,WIRT,4,39.020034,-81.382975
435,54107,WOOD,483,39.211679,-81.515928
436,54109,WYOMING,2,37.603716999999996,-81.548884
