,Unnamed: 0,Unnamed: 0.1,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC172,HC01_VC175,HC01_VC188,HC01_VC191,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209
21,21,21,21043,2.5,38.0,12.0,43.0,22.0,81.0,218.0,47.0,23.0,4638.0,2967.0,6.0,50.0,352.0,0.0,28.0,105.0,0.0,40.0,331.0,635.0,37.0,37.0,25.0,33.0
22,22,22,21045,2.42,25.0,19.0,58.0,25.0,136.0,526.0,100.0,77.0,1274.0,577.0,0.0,12.0,71.0,0.0,9.0,18.0,0.0,4.0,120.0,120.0,0.0,12.0,22.0,98.0
23,23,23,21047,2.66,553.0,75.0,86.0,52.0,142.0,4541.0,488.0,147.0,5729.0,6777.0,112.0,126.0,1635.0,63.0,311.0,973.0,91.0,232.0,610.0,1175.0,44.0,4471.0,324.0,223.0
24,24,24,21049,2.49,128.0,32.0,43.0,21.0,92.0,898.0,402.0,6.0,3815.0,4443.0,43.0,47.0,613.0,40.0,62.0,183.0,8.0,37.0,774.0,994.0,5.0,66.0,213.0,0.0
25,25,25,21051,2.53,66.0,34.0,74.0,78.0,143.0,429.0,125.0,0.0,1264.0,1368.0,42.0,0.0,113.0,0.0,27.0,16.0,3.0,28.0,237.0,156.0,0.0,127.0,0.0,0.0
26,26,26,21053,2.59,56.0,51.0,55.0,102.0,102.0,202.0,58.0,0.0,3860.0,356.0,0.0,9.0,39.0,0.0,0.0,19.0,0.0,0.0,82.0,81.0,0.0,2.0,38.0,0.0
27,27,27,21055,2.42,15.0,18.0,42.0,35.0,63.0,611.0,28.0,0.0,878.0,1018.0,21.0,0.0,159.0,50.0,12.0,62.0,13.0,0.0,106.0,66.0,0.0,0.0,11.0,93.0
28,28,28,21057,2.41,30.0,40.0,67.0,0.0,132.0,47.0,8.0,7.0,2450.0,285.0,0.0,0.0,42.0,0.0,12.0,38.0,0.0,3.0,62.0,84.0,0.0,36.0,17.0,0.0
29,29,29,21059,2.44,423.0,37.0,51.0,32.0,102.0,3361.0,858.0,22.0,9032.0,13922.0,189.0,163.0,1351.0,9.0,276.0,480.0,96.0,124.0,857.0,2121.0,128.0,734.0,284.0,249.0
30,30,30,21061,2.48,13.0,12.0,37.0,17.0,93.0,248.0,23.0,12.0,910.0,1195.0,0.0,0.0,252.0,0.0,26.0,30.0,0.0,5.0,154.0,187.0,0.0,0.0,29.0,9.0
31,31,31,21063,2.52,43.0,64.0,90.0,18.0,171.0,199.0,17.0,0.0,774.0,697.0,0.0,0.0,61.0,0.0,19.0,21.0,0.0,0.0,77.0,46.0,0.0,0.0,0.0,7.0
32,32,32,21065,2.54,90.0,58.0,60.0,0.0,158.0,77.0,0.0,0.0,1489.0,1278.0,13.0,8.0,151.0,0.0,123.0,92.0,0.0,5.0,116.0,407.0,8.0,0.0,37.0,71.0
33,33,33,21067,2.36,1250.0,25.0,47.0,13.0,77.0,35372.0,8843.0,715.0,35969.0,45809.0,904.0,702.0,8523.0,184.0,1807.0,4708.0,393.0,1300.0,6415.0,9166.0,320.0,3543.0,2122.0,662.0
34,34,34,21069,2.53,48.0,34.0,66.0,55.0,125.0,674.0,125.0,54.0,1314.0,1330.0,0.0,0.0,87.0,0.0,38.0,9.0,0.0,20.0,67.0,120.0,0.0,0.0,122.0,133.0
35,35,35,21071,2.45,227.0,55.0,50.0,23.0,106.0,306.0,29.0,25.0,3478.0,2341.0,47.0,19.0,220.0,0.0,29.0,77.0,0.0,42.0,753.0,345.0,0.0,24.0,21.0,0.0
36,36,36,21073,2.3,230.0,33.0,40.0,23.0,85.0,2333.0,583.0,101.0,5624.0,6070.0,0.0,83.0,1044.0,0.0,288.0,353.0,5.0,33.0,1252.0,1002.0,18.0,274.0,310.0,153.0
37,37,37,21075,2.25,32.0,43.0,70.0,234.0,67.0,51.0,5.0,0.0,392.0,416.0,0.0,0.0,52.0,23.0,14.0,95.0,0.0,0.0,34.0,86.0,0.0,100.0,8.0,0.0
38,38,38,21077,2.85,70.0,72.0,86.0,0.0,211.0,360.0,231.0,25.0,416.0,2031.0,0.0,21.0,414.0,4.0,0.0,70.0,0.0,12.0,56.0,152.0,0.0,19.0,8.0,1.0
39,39,39,21079,2.51,94.0,53.0,56.0,27.0,123.0,334.0,83.0,55.0,1675.0,2022.0,0.0,7.0,284.0,15.0,163.0,72.0,16.0,0.0,387.0,484.0,0.0,0.0,72.0,7.0
40,40,40,21081,2.92,210.0,76.0,69.0,8.0,161.0,695.0,209.0,50.0,1983.0,4418.0,231.0,42.0,233.0,14.0,4.0,259.0,91.0,8.0,427.0,367.0,9.0,0.0,40.0,0.0
41,41,41,21083,2.58,73.0,19.0,48.0,34.0,100.0,2080.0,987.0,41.0,3269.0,2956.0,0.0,28.0,339.0,9.0,34.0,76.0,29.0,39.0,391.0,553.0,0.0,110.0,98.0,39.0
42,42,42,21085,2.65,79.0,31.0,76.0,30.0,139.0,421.0,130.0,0.0,2483.0,2738.0,24.0,32.0,341.0,5.0,95.0,163.0,0.0,78.0,252.0,361.0,7.0,0.0,15.0,33.0
43,43,43,21087,2.43,16.0,14.0,48.0,19.0,111.0,355.0,69.0,0.0,801.0,642.0,0.0,13.0,178.0,0.0,45.0,89.0,0.0,0.0,227.0,88.0,0.0,13.0,42.0,94.0
44,44,44,21089,2.51,145.0,43.0,41.0,62.0,80.0,499.0,79.0,25.0,3788.0,5464.0,33.0,26.0,382.0,0.0,45.0,235.0,0.0,55.0,596.0,954.0,26.0,0.0,6.0,37.0
45,45,45,21091,2.64,56.0,69.0,43.0,62.0,82.0,172.0,51.0,5.0,824.0,1474.0,0.0,0.0,136.0,0.0,5.0,25.0,0.0,0.0,136.0,81.0,0.0,0.0,20.0,5.0
46,46,46,21093,2.59,474.0,37.0,50.0,27.0,95.0,7138.0,817.0,236.0,7797.0,16219.0,227.0,122.0,3328.0,84.0,719.0,1306.0,50.0,223.0,1224.0,1772.0,85.0,798.0,410.0,153.0
47,47,47,21095,2.39,72.0,25.0,45.0,25.0,78.0,392.0,48.0,13.0,1500.0,953.0,25.0,25.0,370.0,5.0,2.0,55.0,0.0,19.0,229.0,270.0,2.0,34.0,25.0,16.0
48,48,48,21097,2.56,86.0,40.0,50.0,0.0,126.0,689.0,177.0,30.0,2090.0,2823.0,38.0,23.0,156.0,0.0,78.0,59.0,0.0,9.0,202.0,615.0,0.0,30.0,40.0,23.0
49,49,49,21099,2.47,175.0,103.0,99.0,24.0,238.0,1345.0,45.0,19.0,1742.0,1723.0,0.0,6.0,187.0,0.0,61.0,26.0,0.0,0.0,234.0,272.0,0.0,39.0,61.0,80.0
50,50,50,21101,2.39,345.0,63.0,59.0,17.0,126.0,1122.0,413.0,28.0,4313.0,7108.0,16.0,90.0,558.0,0.0,131.0,317.0,9.0,19.0,605.0,723.0,0.0,566.0,71.0,15.0
51,51,51,21103,2.58,93.0,58.0,58.0,0.0,128.0,431.0,105.0,0.0,1236.0,1711.0,43.0,0.0,180.0,10.0,18.0,111.0,24.0,2.0,206.0,383.0,9.0,4.0,12.0,27.0
52,52,52,21105,2.43,44.0,83.0,90.0,184.0,87.0,124.0,0.0,0.0,431.0,226.0,0.0,0.0,34.0,0.0,3.0,7.0,15.0,0.0,75.0,39.0,0.0,2.0,3.0,0.0
53,53,53,21107,2.47,139.0,28.0,54.0,17.0,88.0,809.0,134.0,2.0,4958.0,4139.0,5.0,16.0,449.0,0.0,67.0,384.0,22.0,42.0,526.0,694.0,2.0,96.0,39.0,136.0
54,54,54,21109,2.39,22.0,17.0,48.0,0.0,128.0,145.0,29.0,0.0,795.0,482.0,4.0,0.0,123.0,0.0,8.0,8.0,0.0,0.0,80.0,71.0,0.0,0.0,0.0,0.0
55,55,55,21111,2.4,3968.0,37.0,56.0,25.0,93.0,61958.0,12873.0,1127.0,68734.0,126457.0,1342.0,1388.0,19458.0,526.0,2809.0,7966.0,544.0,3187.0,8445.0,13316.0,390.0,16304.0,3493.0,2958.0
56,56,56,21113,2.67,228.0,35.0,64.0,4.0,128.0,2639.0,632.0,61.0,6590.0,7183.0,83.0,81.0,1109.0,73.0,248.0,521.0,61.0,544.0,693.0,1402.0,0.0,300.0,426.0,102.0
57,57,57,21115,2.58,51.0,22.0,44.0,34.0,68.0,324.0,12.0,10.0,2497.0,1936.0,0.0,0.0,151.0,0.0,38.0,25.0,33.0,75.0,660.0,258.0,0.0,16.0,86.0,16.0
58,58,58,21117,2.57,1037.0,48.0,65.0,48.0,111.0,5899.0,1416.0,216.0,16908.0,57321.0,551.0,748.0,6519.0,194.0,648.0,2505.0,118.0,386.0,1940.0,2757.0,242.0,428.0,464.0,359.0
59,59,59,21119,2.51,145.0,76.0,70.0,33.0,139.0,205.0,45.0,0.0,1761.0,942.0,0.0,0.0,72.0,0.0,23.0,102.0,0.0,3.0,327.0,204.0,0.0,2.0,8.0,42.0
60,60,60,21121,2.52,139.0,40.0,46.0,71.0,75.0,390.0,79.0,4.0,2212.0,1784.0,47.0,28.0,196.0,0.0,3.0,44.0,46.0,22.0,146.0,345.0,0.0,52.0,124.0,10.0
61,61,61,21123,2.53,48.0,31.0,59.0,0.0,138.0,506.0,141.0,79.0,896.0,1472.0,0.0,0.0,204.0,38.0,24.0,38.0,26.0,7.0,148.0,195.0,5.0,6.0,30.0,0.0
62,62,62,21125,2.57,312.0,49.0,50.0,21.0,104.0,741.0,104.0,13.0,5364.0,4747.0,9.0,4.0,662.0,0.0,114.0,303.0,14.0,6.0,840.0,1029.0,105.0,64.0,230.0,192.0
63,63,63,21127,2.57,42.0,30.0,40.0,62.0,75.0,259.0,6.0,0.0,2103.0,1036.0,5.0,29.0,126.0,30.0,59.0,62.0,63.0,0.0,287.0,308.0,5.0,0.0,28.0,0.0
64,64,64,21129,2.19,34.0,56.0,54.0,0.0,146.0,49.0,0.0,0.0,330.0,401.0,2.0,0.0,52.0,0.0,0.0,18.0,0.0,25.0,58.0,27.0,0.0,0.0,8.0,0.0
65,65,65,21131,2.61,33.0,32.0,53.0,0.0,106.0,76.0,5.0,0.0,962.0,461.0,0.0,0.0,27.0,0.0,14.0,0.0,0.0,0.0,80.0,160.0,0.0,0.0,0.0,9.0
66,66,66,21133,2.31,97.0,44.0,54.0,25.0,103.0,217.0,36.0,12.0,1249.0,1125.0,0.0,46.0,104.0,0.0,22.0,113.0,0.0,0.0,257.0,345.0,6.0,0.0,34.0,0.0
67,67,67,21135,2.49,49.0,41.0,49.0,8.0,105.0,214.0,43.0,0.0,938.0,1330.0,11.0,0.0,75.0,0.0,41.0,91.0,0.0,91.0,79.0,219.0,0.0,0.0,4.0,0.0
68,68,68,21137,2.49,118.0,48.0,64.0,0.0,163.0,323.0,14.0,0.0,1128.0,1335.0,11.0,3.0,180.0,0.0,35.0,46.0,0.0,21.0,152.0,194.0,0.0,12.0,15.0,108.0
69,69,69,21139,2.4,30.0,41.0,24.0,0.0,43.0,210.0,33.0,0.0,905.0,1023.0,14.0,7.0,166.0,5.0,23.0,6.0,13.0,3.0,244.0,98.0,0.0,0.0,33.0,0.0
70,70,70,21141,2.48,112.0,39.0,45.0,20.0,93.0,733.0,91.0,4.0,3976.0,2547.0,7.0,2.0,144.0,0.0,100.0,55.0,0.0,32.0,398.0,419.0,0.0,117.0,66.0,126.0
71,71,71,21143,2.09,18.0,26.0,23.0,0.0,64.0,297.0,88.0,0.0,779.0,1359.0,45.0,11.0,149.0,34.0,49.0,97.0,0.0,52.0,262.0,264.0,4.0,28.0,31.0,0.0
72,72,72,21145,2.29,336.0,42.0,56.0,6.0,122.0,1877.0,271.0,94.0,6353.0,7875.0,142.0,37.0,858.0,7.0,286.0,515.0,0.0,83.0,951.0,1603.0,21.0,687.0,388.0,59.0
73,73,73,21147,2.54,39.0,26.0,26.0,45.0,51.0,660.0,75.0,17.0,834.0,962.0,15.0,0.0,458.0,0.0,27.0,156.0,10.0,0.0,207.0,278.0,0.0,138.0,0.0,0.0
74,74,74,21149,2.51,49.0,64.0,71.0,0.0,172.0,169.0,35.0,0.0,677.0,1295.0,0.0,21.0,74.0,0.0,76.0,63.0,0.0,7.0,91.0,179.0,0.0,0.0,63.0,9.0
75,75,75,21151,2.5,242.0,17.0,46.0,15.0,82.0,3244.0,545.0,127.0,10004.0,11330.0,172.0,58.0,1916.0,59.0,317.0,1157.0,160.0,271.0,2308.0,2189.0,81.0,398.0,221.0,215.0
76,76,76,21153,2.54,22.0,21.0,47.0,54.0,107.0,8.0,4.0,0.0,770.0,625.0,0.0,7.0,22.0,0.0,0.0,16.0,0.0,25.0,421.0,156.0,0.0,0.0,0.0,0.0
77,77,77,21155,2.49,128.0,56.0,63.0,23.0,141.0,568.0,139.0,9.0,1340.0,1398.0,11.0,0.0,342.0,0.0,13.0,90.0,0.0,16.0,189.0,125.0,0.0,301.0,29.0,249.0
78,78,78,21157,2.38,81.0,27.0,35.0,15.0,73.0,371.0,44.0,16.0,2867.0,3075.0,25.0,57.0,992.0,0.0,136.0,205.0,55.0,30.0,341.0,601.0,0.0,20.0,136.0,15.0
79,79,79,21159,2.55,80.0,79.0,47.0,0.0,130.0,293.0,93.0,0.0,1028.0,724.0,10.0,10.0,73.0,0.0,56.0,43.0,0.0,86.0,110.0,79.0,0.0,36.0,0.0,34.0
80,80,80,21161,2.49,66.0,37.0,54.0,2.0,102.0,892.0,163.0,59.0,1353.0,3403.0,21.0,0.0,241.0,0.0,28.0,86.0,0.0,6.0,220.0,146.0,0.0,43.0,25.0,146.0
81,81,81,21163,2.68,93.0,32.0,68.0,9.0,153.0,730.0,140.0,39.0,2424.0,5188.0,53.0,208.0,836.0,102.0,145.0,377.0,60.0,23.0,328.0,609.0,10.0,104.0,229.0,50.0
82,82,82,21165,2.48,3.0,4.0,52.0,29.0,90.0,94.0,0.0,0.0,481.0,641.0,0.0,15.0,72.0,0.0,0.0,26.0,0.0,0.0,167.0,99.0,0.0,1.0,0.0,12.0
83,83,83,21167,2.41,73.0,34.0,36.0,10.0,76.0,639.0,223.0,5.0,2526.0,3115.0,0.0,140.0,489.0,0.0,68.0,167.0,7.0,31.0,421.0,335.0,12.0,26.0,23.0,24.0
84,84,84,21169,2.51,48.0,50.0,95.0,0.0,161.0,141.0,5.0,0.0,1062.0,743.0,0.0,24.0,72.0,0.0,10.0,146.0,10.0,0.0,102.0,117.0,0.0,19.0,2.0,9.0
85,85,85,21171,2.39,28.0,30.0,42.0,0.0,89.0,401.0,91.0,0.0,981.0,720.0,39.0,0.0,102.0,0.0,16.0,24.0,0.0,30.0,281.0,294.0,0.0,0.0,45.0,71.0
86,86,86,21173,2.64,114.0,33.0,51.0,0.0,113.0,460.0,210.0,0.0,2521.0,2596.0,32.0,10.0,201.0,0.0,88.0,183.0,7.0,0.0,315.0,423.0,0.0,23.0,16.0,36.0
87,87,87,21175,2.36,52.0,44.0,54.0,9.0,114.0,208.0,8.0,4.0,1123.0,1078.0,18.0,0.0,72.0,0.0,0.0,12.0,0.0,7.0,190.0,131.0,0.0,8.0,21.0,48.0
88,88,88,21177,2.6,165.0,51.0,54.0,57.0,99.0,445.0,46.0,0.0,2851.0,2950.0,5.0,0.0,358.0,8.0,62.0,114.0,0.0,4.0,285.0,473.0,0.0,25.0,179.0,10.0
89,89,89,21179,2.57,149.0,30.0,56.0,37.0,103.0,985.0,246.0,33.0,4790.0,5153.0,38.0,179.0,696.0,62.0,79.0,232.0,157.0,22.0,522.0,769.0,21.0,47.0,113.0,6.0
90,90,90,21181,2.52,35.0,44.0,50.0,0.0,128.0,287.0,0.0,0.0,419.0,591.0,0.0,0.0,43.0,0.0,0.0,58.0,0.0,0.0,70.0,112.0,0.0,17.0,8.0,202.0
91,91,91,21183,2.67,164.0,78.0,76.0,107.0,125.0,521.0,314.0,13.0,1772.0,1866.0,85.0,114.0,205.0,0.0,24.0,103.0,16.0,0.0,387.0,323.0,0.0,0.0,52.0,0.0
92,92,92,21185,2.96,213.0,35.0,59.0,11.0,156.0,2687.0,598.0,175.0,8762.0,13965.0,260.0,230.0,2146.0,72.0,407.0,1507.0,124.0,387.0,975.0,1898.0,101.0,270.0,351.0,343.0
93,93,93,21187,2.7,74.0,63.0,58.0,0.0,110.0,78.0,14.0,0.0,802.0,1750.0,31.0,1.0,112.0,0.0,33.0,47.0,11.0,42.0,150.0,160.0,0.0,20.0,57.0,6.0
94,94,94,21189,2.66,7.0,13.0,43.0,48.0,75.0,45.0,0.0,0.0,370.0,143.0,0.0,0.0,0.0,0.0,10.0,21.0,0.0,0.0,50.0,10.0,0.0,0.0,0.0,21.0
95,95,95,21191,2.69,26.0,19.0,65.0,0.0,136.0,233.0,0.0,0.0,1315.0,4243.0,78.0,84.0,184.0,0.0,12.0,73.0,110.0,8.0,145.0,250.0,0.0,16.0,27.0,0.0
96,96,96,21193,2.45,64.0,21.0,58.0,4.0,141.0,395.0,94.0,20.0,2989.0,1813.0,27.0,0.0,453.0,0.0,14.0,0.0,0.0,38.0,596.0,625.0,1.0,14.0,19.0,113.0
97,97,97,21195,2.38,225.0,35.0,46.0,26.0,86.0,904.0,77.0,0.0,5084.0,3370.0,50.0,53.0,483.0,0.0,47.0,313.0,19.0,24.0,860.0,821.0,0.0,151.0,94.0,124.0
98,98,98,21197,2.53,35.0,25.0,50.0,55.0,83.0,137.0,62.0,0.0,1402.0,730.0,0.0,0.0,132.0,0.0,0.0,92.0,8.0,24.0,138.0,137.0,24.0,40.0,23.0,0.0
99,99,99,21199,2.45,272.0,37.0,50.0,15.0,111.0,1538.0,176.0,21.0,5691.0,4974.0,43.0,43.0,879.0,62.0,140.0,427.0,36.0,33.0,491.0,1151.0,61.0,135.0,80.0,34.0
100,100,100,21201,2.22,5.0,26.0,42.0,0.0,99.0,88.0,0.0,3.0,202.0,441.0,17.0,0.0,28.0,3.0,0.0,8.0,0.0,0.0,57.0,17.0,0.0,0.0,9.0,0.0
101,101,101,21203,2.55,74.0,48.0,46.0,61.0,90.0,147.0,1.0,0.0,1262.0,1066.0,61.0,66.0,160.0,0.0,0.0,145.0,3.0,0.0,163.0,73.0,12.0,18.0,6.0,7.0
102,102,102,21205,2.52,98.0,20.0,47.0,31.0,79.0,1099.0,373.0,6.0,2416.0,2163.0,30.0,146.0,124.0,0.0,35.0,123.0,0.0,35.0,397.0,406.0,13.0,3.0,14.0,0.0
103,103,103,21207,2.47,102.0,49.0,47.0,74.0,81.0,577.0,319.0,0.0,4540.0,964.0,6.0,0.0,164.0,0.0,6.0,38.0,0.0,21.0,84.0,150.0,0.0,8.0,5.0,20.0
104,104,104,21209,2.64,158.0,27.0,47.0,0.0,93.0,2331.0,864.0,40.0,6109.0,8534.0,97.0,206.0,1522.0,39.0,107.0,664.0,36.0,167.0,1111.0,1462.0,41.0,107.0,210.0,56.0
105,105,105,21211,2.68,271.0,50.0,53.0,27.0,103.0,3952.0,1736.0,23.0,4801.0,6236.0,198.0,28.0,926.0,17.0,132.0,349.0,40.0,219.0,659.0,749.0,49.0,190.0,249.0,84.0
106,106,106,21213,2.52,66.0,33.0,54.0,57.0,85.0,333.0,72.0,40.0,1929.0,2142.0,23.0,102.0,121.0,0.0,92.0,57.0,0.0,33.0,310.0,667.0,0.0,90.0,54.0,11.0
107,107,107,21215,2.74,9.0,5.0,26.0,0.0,63.0,357.0,0.0,13.0,1877.0,3222.0,0.0,33.0,327.0,0.0,15.0,69.0,27.0,50.0,171.0,343.0,19.0,8.0,137.0,43.0
108,108,108,21217,2.48,98.0,27.0,41.0,30.0,82.0,560.0,48.0,8.0,2103.0,2191.0,43.0,10.0,200.0,0.0,26.0,138.0,13.0,0.0,417.0,434.0,0.0,21.0,65.0,160.0
109,109,109,21219,2.71,38.0,31.0,81.0,78.0,153.0,1259.0,97.0,0.0,1442.0,1086.0,4.0,1.0,135.0,0.0,23.0,61.0,30.0,43.0,226.0,233.0,0.0,93.0,10.0,343.0
110,110,110,21221,2.37,23.0,17.0,34.0,0.0,88.0,877.0,78.0,0.0,1288.0,1697.0,0.0,10.0,88.0,243.0,28.0,229.0,0.0,11.0,148.0,183.0,23.0,537.0,132.0,269.0
111,111,111,21223,2.45,38.0,46.0,54.0,0.0,112.0,207.0,23.0,0.0,816.0,1192.0,12.0,14.0,54.0,0.0,4.0,17.0,2.0,0.0,107.0,134.0,11.0,0.0,33.0,5.0
112,112,112,21225,2.42,37.0,23.0,40.0,15.0,69.0,280.0,40.0,5.0,1244.0,1984.0,18.0,7.0,197.0,50.0,25.0,51.0,0.0,30.0,226.0,166.0,0.0,406.0,0.0,25.0
113,113,113,21227,2.48,587.0,31.0,54.0,11.0,97.0,13196.0,2482.0,223.0,11828.0,15428.0,203.0,292.0,2382.0,66.0,380.0,1164.0,117.0,145.0,2160.0,3611.0,122.0,859.0,1020.0,166.0
114,114,114,21229,2.58,30.0,22.0,29.0,36.0,32.0,430.0,152.0,0.0,1526.0,962.0,7.0,0.0,109.0,0.0,13.0,39.0,0.0,9.0,184.0,158.0,10.0,27.0,0.0,0.0
115,115,115,21231,2.58,182.0,90.0,61.0,14.0,89.0,545.0,300.0,0.0,3169.0,1896.0,10.0,25.0,323.0,0.0,0.0,91.0,9.0,0.0,162.0,313.0,0.0,9.0,45.0,12.0
116,116,116,21233,2.53,92.0,71.0,68.0,53.0,132.0,725.0,229.0,0.0,993.0,1538.0,22.0,0.0,185.0,0.0,78.0,68.0,6.0,10.0,199.0,233.0,0.0,97.0,0.0,8.0
117,117,117,21235,2.68,241.0,55.0,63.0,34.0,100.0,526.0,41.0,8.0,3306.0,3413.0,0.0,23.0,323.0,10.0,69.0,92.0,11.0,2.0,512.0,861.0,0.0,19.0,21.0,22.0
118,118,118,21237,2.45,0.0,0.0,39.0,0.0,102.0,11.0,0.0,0.0,562.0,248.0,0.0,22.0,32.0,0.0,0.0,0.0,0.0,0.0,93.0,69.0,0.0,0.0,15.0,0.0
119,119,119,21239,2.53,60.0,20.0,58.0,0.0,105.0,1821.0,759.0,25.0,3543.0,3559.0,29.0,64.0,529.0,5.0,288.0,509.0,0.0,84.0,706.0,639.0,29.0,52.0,166.0,86.0
120,120,120,39001,2.55,30.0,10.0,35.0,17.0,66.0,366.0,23.0,83.0,2095.0,3517.0,48.0,17.0,384.0,0.0,63.0,67.0,0.0,48.0,210.0,200.0,6.0,6.0,122.0,62.0
