,index,YYYY,State,COUNTY,FIPS_State,FIPS_County,FIPS_Combined,SubstanceName,DrugReports,TotalDrugReportsCounty,TotalDrugReportsState
193,842,2010,OH,GUERNSEY,39,59,39059,Buprenorphine,6,316,70999
194,845,2010,OH,HAMILTON,39,61,39061,Heroin,1917,13780,70999
195,846,2010,OH,HAMILTON,39,61,39061,Methadone,68,13780,70999
196,848,2010,OH,HANCOCK,39,63,39063,Buprenorphine,5,573,70999
197,850,2010,OH,HARDIN,39,65,39065,Codeine,2,326,70999
198,859,2010,OH,HOLMES,39,75,39075,Oxycodone,5,129,70999
199,864,2010,OH,HURON,39,77,39077,Heroin,38,240,70999
200,866,2010,OH,JACKSON,39,79,39079,Propoxyphene,1,632,70999
201,872,2010,OH,JEFFERSON,39,81,39081,Hydrocodone,4,264,70999
202,873,2010,OH,JEFFERSON,39,81,39081,Oxycodone,16,264,70999
203,887,2010,OH,KNOX,39,83,39083,Morphine,2,31,70999
204,889,2010,OH,LAKE,39,85,39085,Tramadol,29,2726,70999
205,894,2010,OH,LICKING,39,89,39089,Heroin,175,1639,70999
206,895,2010,OH,LICKING,39,89,39089,Propoxyphene,2,1639,70999
207,897,2010,OH,LOGAN,39,91,39091,Buprenorphine,1,273,70999
208,905,2010,OH,FAIRFIELD,39,45,39045,Oxycodone,78,846,70999
209,913,2010,OH,FRANKLIN,39,49,39049,Hydrocodone,60,2921,70999
210,914,2010,OH,FRANKLIN,39,49,39049,Oxycodone,346,2921,70999
211,915,2010,OH,FRANKLIN,39,49,39049,Oxymorphone,4,2921,70999
212,916,2010,OH,FRANKLIN,39,49,39049,Tramadol,1,2921,70999
213,921,2010,OH,FULTON,39,51,39051,Methadone,1,65,70999
214,923,2010,OH,GEAUGA,39,55,39055,Oxycodone,13,114,70999
215,934,2010,OH,GUERNSEY,39,59,39059,Hydrocodone,15,316,70999
216,935,2010,OH,HAMILTON,39,61,39061,Hydrocodone,347,13780,70999
217,936,2010,OH,HAMILTON,39,61,39061,Tramadol,25,13780,70999
218,942,2010,OH,HARDIN,39,65,39065,Oxycodone,46,326,70999
219,943,2010,OH,HARDIN,39,65,39065,Oxymorphone,1,326,70999
220,951,2010,OH,HIGHLAND,39,71,39071,Hydrocodone,20,527,70999
221,952,2010,OH,HIGHLAND,39,71,39071,Morphine,7,527,70999
222,953,2010,OH,HOLMES,39,75,39075,Buprenorphine,1,129,70999
223,957,2010,OH,HURON,39,77,39077,Oxycodone,33,240,70999
224,961,2010,OH,JACKSON,39,79,39079,Heroin,35,632,70999
225,962,2010,OH,JACKSON,39,79,39079,Tramadol,1,632,70999
226,964,2010,OH,JEFFERSON,39,81,39081,Heroin,13,264,70999
227,965,2010,OH,JEFFERSON,39,81,39081,Propoxyphene,1,264,70999
228,979,2010,OH,KNOX,39,83,39083,Methadone,2,31,70999
229,980,2010,OH,LAKE,39,85,39085,Buprenorphine,14,2726,70999
230,981,2010,OH,LAKE,39,85,39085,Hydrocodone,39,2726,70999
231,982,2010,OH,LAKE,39,85,39085,Propoxyphene,4,2726,70999
232,995,2010,OH,LICKING,39,89,39089,Hydrocodone,55,1639,70999
233,996,2010,OH,LICKING,39,89,39089,Morphine,4,1639,70999
234,1001,2010,OH,LORAIN,39,93,39093,Oxycodone,11,232,70999
235,1005,2010,OH,FRANKLIN,39,49,39049,Codeine,3,2921,70999
236,1022,2010,OH,GREENE,39,57,39057,Propoxyphene,1,964,70999
237,1026,2010,OH,HAMILTON,39,61,39061,Fentanyl,11,13780,70999
238,1027,2010,OH,HAMILTON,39,61,39061,Hydromorphone,13,13780,70999
239,1029,2010,OH,HANCOCK,39,63,39063,Codeine,5,573,70999
240,1030,2010,OH,HANCOCK,39,63,39063,Hydrocodone,22,573,70999
241,1031,2010,OH,HANCOCK,39,63,39063,Methadone,1,573,70999
242,1036,2010,OH,HARDIN,39,65,39065,Buprenorphine,9,326,70999
243,1037,2010,OH,HARDIN,39,65,39065,Morphine,3,326,70999
244,1045,2010,OH,HOCKING,39,73,39073,Oxycodone,21,66,70999
245,1050,2010,OH,JACKSON,39,79,39079,Hydromorphone,2,632,70999
246,1063,2010,OH,LAKE,39,85,39085,Heroin,193,2726,70999
247,1064,2010,OH,LAKE,39,85,39085,Methadone,10,2726,70999
248,1072,2010,OH,LOGAN,39,91,39091,Codeine,3,273,70999
249,1073,2010,OH,LOGAN,39,91,39091,Heroin,38,273,70999
250,1075,2010,OH,LUCAS,39,95,39095,Buprenorphine,17,1995,70999
251,1076,2010,OH,LUCAS,39,95,39095,Morphine,17,1995,70999
252,1086,2010,OH,MAHONING,39,99,39099,Tramadol,2,2309,70999
253,1087,2010,OH,MARION,39,101,39101,Codeine,1,307,70999
254,1088,2010,OH,MARION,39,101,39101,Hydrocodone,19,307,70999
255,1089,2010,OH,MARION,39,101,39101,Methadone,8,307,70999
256,1101,2010,OH,MERCER,39,107,39107,Heroin,28,92,70999
257,1102,2010,OH,MERCER,39,107,39107,Oxycodone,16,92,70999
258,1108,2010,OH,FAYETTE,39,47,39047,Oxycodone,19,95,70999
259,1116,2010,OH,GALLIA,39,53,39053,Oxycodone,125,416,70999
260,1117,2010,OH,GALLIA,39,53,39053,Oxymorphone,13,416,70999
261,1126,2010,OH,GREENE,39,57,39057,Buprenorphine,7,964,70999
262,1127,2010,OH,GREENE,39,57,39057,Codeine,1,964,70999
263,1128,2010,OH,GREENE,39,57,39057,Morphine,4,964,70999
264,1130,2010,OH,GUERNSEY,39,59,39059,Methadone,5,316,70999
265,1132,2010,OH,HANCOCK,39,63,39063,Morphine,2,573,70999
266,1134,2010,OH,HARDIN,39,65,39065,Methadone,2,326,70999
267,1142,2010,OH,HENRY,39,69,39069,Heroin,3,50,70999
268,1143,2010,OH,HIGHLAND,39,71,39071,Hydromorphone,1,527,70999
269,1144,2010,OH,HIGHLAND,39,71,39071,Oxycodone,56,527,70999
270,1157,2010,OH,KNOX,39,83,39083,Oxycodone,3,31,70999
271,1160,2010,OH,LAWRENCE,39,87,39087,Heroin,4,156,70999
272,1168,2010,OH,LICKING,39,89,39089,Methadone,11,1639,70999
273,1169,2010,OH,LICKING,39,89,39089,Tramadol,1,1639,70999
274,1171,2010,OH,LOGAN,39,91,39091,Hydrocodone,10,273,70999
275,1178,2010,OH,LUCAS,39,95,39095,Tramadol,6,1995,70999
276,1183,2010,OH,MAHONING,39,99,39099,Oxymorphone,4,2309,70999
277,1185,2010,OH,MARION,39,101,39101,Heroin,61,307,70999
278,1198,2010,OH,MEIGS,39,105,39105,Morphine,3,102,70999
279,1201,2010,OH,MERCER,39,107,39107,Hydrocodone,8,92,70999
280,1203,2010,OH,ERIE,39,43,39043,Hydromorphone,2,552,70999
281,1220,2010,OH,FRANKLIN,39,49,39049,Heroin,327,2921,70999
282,1221,2010,OH,FRANKLIN,39,49,39049,Methadone,16,2921,70999
283,1232,2010,OH,GALLIA,39,53,39053,Buprenorphine,20,416,70999
284,1240,2010,OH,GREENE,39,57,39057,Dextropropoxyphene,2,964,70999
285,1244,2010,OH,GUERNSEY,39,59,39059,Heroin,14,316,70999
286,1245,2010,OH,GUERNSEY,39,59,39059,Oxycodone,45,316,70999
287,1246,2010,OH,GUERNSEY,39,59,39059,Propoxyphene,1,316,70999
288,1248,2010,OH,HAMILTON,39,61,39061,Dextropropoxyphene,7,13780,70999
289,1249,2010,OH,HAMILTON,39,61,39061,Morphine,74,13780,70999
290,1252,2010,OH,HANCOCK,39,63,39063,Oxycodone,55,573,70999
291,1265,2010,OH,HIGHLAND,39,71,39071,Codeine,3,527,70999
292,1266,2010,OH,HOCKING,39,73,39073,Heroin,13,66,70999
293,1267,2010,OH,HOLMES,39,75,39075,Hydromorphone,1,129,70999
294,1268,2010,OH,HURON,39,77,39077,Morphine,1,240,70999
295,1274,2010,OH,JACKSON,39,79,39079,Hydrocodone,27,632,70999
296,1275,2010,OH,JACKSON,39,79,39079,Methadone,5,632,70999
297,1278,2010,OH,JEFFERSON,39,81,39081,Buprenorphine,1,264,70999
298,1279,2010,OH,JEFFERSON,39,81,39081,Morphine,4,264,70999
299,1285,2010,OH,KNOX,39,83,39083,Hydrocodone,1,31,70999
300,1287,2010,OH,LAKE,39,85,39085,Oxycodone,119,2726,70999
301,1288,2010,OH,LAKE,39,85,39085,Oxymorphone,1,2726,70999
302,1298,2010,OH,LICKING,39,89,39089,Fentanyl,1,1639,70999
303,1299,2010,OH,LICKING,39,89,39089,Hydromorphone,3,1639,70999
304,1300,2010,OH,LICKING,39,89,39089,Opiates,14,1639,70999
305,1301,2010,OH,LOGAN,39,91,39091,Oxycodone,16,273,70999
306,1302,2010,OH,LOGAN,39,91,39091,Oxymorphone,3,273,70999
307,1308,2010,OH,ERIE,39,43,39043,Fentanyl,3,552,70999
308,1311,2010,OH,FAIRFIELD,39,45,39045,Methadone,1,846,70999
309,1322,2010,OH,FRANKLIN,39,49,39049,Fentanyl,1,2921,70999
310,1323,2010,OH,FRANKLIN,39,49,39049,Propoxyphene,2,2921,70999
311,1336,2010,OH,GALLIA,39,53,39053,Hydromorphone,8,416,70999
312,1337,2010,OH,GALLIA,39,53,39053,Morphine,3,416,70999
313,1338,2010,OH,GEAUGA,39,55,39055,Heroin,6,114,70999
314,1344,2010,OH,GREENE,39,57,39057,Heroin,88,964,70999
315,1345,2010,OH,GREENE,39,57,39057,Oxycodone,33,964,70999
316,1353,2010,OH,HAMILTON,39,61,39061,Buprenorphine,106,13780,70999
317,1356,2010,OH,HANCOCK,39,63,39063,Heroin,32,573,70999
318,1357,2010,OH,HANCOCK,39,63,39063,Propoxyphene,2,573,70999
319,1361,2010,OH,HARDIN,39,65,39065,Heroin,113,326,70999
320,1362,2010,OH,HARDIN,39,65,39065,Propoxyphene,1,326,70999
321,1371,2010,OH,HIGHLAND,39,71,39071,Buprenorphine,7,527,70999
322,1373,2010,OH,HOLMES,39,75,39075,Hydrocodone,3,129,70999
323,1374,2010,OH,HOLMES,39,75,39075,Morphine,1,129,70999
324,1376,2010,OH,HURON,39,77,39077,Methadone,2,240,70999
325,1381,2010,OH,JEFFERSON,39,81,39081,Oxymorphone,3,264,70999
326,1390,2010,OH,LAKE,39,85,39085,Codeine,4,2726,70999
327,1391,2010,OH,LAKE,39,85,39085,Morphine,8,2726,70999
328,1397,2010,OH,LAWRENCE,39,87,39087,Buprenorphine,2,156,70999
329,1403,2010,OH,ERIE,39,43,39043,Methadone,6,552,70999
330,1408,2010,OH,FAIRFIELD,39,45,39045,Oxymorphone,1,846,70999
331,1413,2010,OH,FAYETTE,39,47,39047,Codeine,1,95,70999
332,1423,2010,OH,FRANKLIN,39,49,39049,Morphine,18,2921,70999
333,1428,2010,OH,FULTON,39,51,39051,Heroin,5,65,70999
334,1434,2010,OH,GREENE,39,57,39057,Hydrocodone,22,964,70999
335,1437,2010,OH,GUERNSEY,39,59,39059,Morphine,3,316,70999
336,1438,2010,OH,HAMILTON,39,61,39061,Codeine,26,13780,70999
337,1439,2010,OH,HAMILTON,39,61,39061,Oxycodone,1016,13780,70999
338,1440,2010,OH,HAMILTON,39,61,39061,Oxymorphone,17,13780,70999
339,1445,2010,OH,HARDIN,39,65,39065,Hydrocodone,13,326,70999
340,1452,2010,OH,HIGHLAND,39,71,39071,Fentanyl,3,527,70999
341,1453,2010,OH,HIGHLAND,39,71,39071,Tramadol,3,527,70999
342,1454,2010,OH,HOLMES,39,75,39075,Heroin,5,129,70999
343,1458,2010,OH,HURON,39,77,39077,Oxymorphone,2,240,70999
344,1460,2010,OH,JACKSON,39,79,39079,Oxycodone,141,632,70999
345,1461,2010,OH,JACKSON,39,79,39079,Oxymorphone,8,632,70999
346,1467,2010,OH,JEFFERSON,39,81,39081,Methadone,2,264,70999
347,1477,2010,OH,KNOX,39,83,39083,Buprenorphine,1,31,70999
348,1480,2010,OH,LAKE,39,85,39085,Fentanyl,1,2726,70999
349,1481,2010,OH,LAKE,39,85,39085,Hydromorphone,2,2726,70999
350,1485,2010,OH,LAWRENCE,39,87,39087,Hydrocodone,8,156,70999
351,1494,2010,OH,LICKING,39,89,39089,Oxycodone,98,1639,70999
352,1495,2010,OH,LICKING,39,89,39089,Oxymorphone,1,1639,70999
353,1498,2010,OH,LOGAN,39,91,39091,Morphine,4,273,70999
354,1504,2010,OH,FAYETTE,39,47,39047,Hydrocodone,5,95,70999
355,1509,2010,OH,FRANKLIN,39,49,39049,Hydromorphone,5,2921,70999
356,1513,2010,OH,FULTON,39,51,39051,Buprenorphine,4,65,70999
357,1514,2010,OH,FULTON,39,51,39051,Hydrocodone,3,65,70999
358,1517,2010,OH,GALLIA,39,53,39053,Fentanyl,1,416,70999
359,1518,2010,OH,GALLIA,39,53,39053,Heroin,8,416,70999
360,1519,2010,OH,GALLIA,39,53,39053,Methadone,3,416,70999
361,1521,2010,OH,GEAUGA,39,55,39055,Hydrocodone,3,114,70999
362,1533,2010,OH,GUERNSEY,39,59,39059,Hydromorphone,1,316,70999
363,1534,2010,OH,HAMILTON,39,61,39061,Methorphan,1,13780,70999
364,1543,2010,OH,HENRY,39,69,39069,Oxycodone,2,50,70999
