,Drug,Year,Score_Drug_1,Score_Drug_2,Score_Drug_3
47,Tetrahydrofuran fentanyl,2014,0.00022413830853218293,0.0018279875061879948,0.002580551831961705
48,p-Fluorofentanyl,2014,0.001285714026630216,0.001273141604129459,0.002065921170779864
49,o-Fluorofentanyl,2014,0.0015742795106201515,0.0017328641484737428,0.0011545870164492147
50,3-Fluorofentanyl,2014,0.0014418128104842945,0.001556328000033797,0.0015293682494653146
51,Fluorofentanyl,2014,0.0011710587478614182,0.002758503078835652,0.00032024785465823097
52,Fluoroisobutyryl fentanyl,2014,0.0021421489101283264,0.0009732746581511405,0.00146391868184869
53,Fluorobutyryl fentanyl ,2014,0.0005137595194462688,0.002146554595629094,0.001846369787700126
54,Furanyl/3-Furanyl fentanyl,2014,0.001094387420591719,0.0018456112088737332,0.0015614027991446933
55,Cyclopropyl fentanyl,2014,0.001234840554824801,0.0016584426073178891,0.001637374640586508
56,Methoxyacetyl fentanyl,2014,0.001868541901709015,0.001739685612916834,0.000808945417657773
57,Phenyl fentanyl,2014,0.0023358412277587,0.0012326735238462603,0.0009143476700335248
58,Benzylfentanyl,2014,0.0025298387236042637,0.0007587717896652399,0.0012909236656177248
59,U-48800,2014,0.001832760852519834,0.0009700995375751901,0.0018222367680518284
60,U-49900,2014,0.0013688961166215187,0.002535020293661136,0.00037615058609388367
61,Crotonyl fentanyl,2014,4.157747677623552e-05,0.0013521680285143685,0.0033907330873604
62,"3,4-Methylenedioxy U-47700",2014,0.0004840158216581205,0.0021970497956701565,0.0018166264026042449
63,U-51754,2014,0.0022811597011778927,0.0012641742973669681,0.0009371761467765958
64,Cyclopropyl/Crotonyl Fentanyl,2014,0.002157512071108747,0.0014168761320350308,0.0008857967818521253
65,Isobutyryl fentanyl,2014,0.0016634932509562985,0.0021923244783278216,0.0004718070355892545
66,Cyclopentyl fentanyl,2014,0.0018283278554698432,0.0005309825252400218,0.002382158392342994
67,4-Methylfentanyl,2014,0.00010852010237864762,0.0027130632676588564,0.0015937419649214473
68,Metazocine,2014,0.001738158024895228,0.0018346164752107358,0.000838320542704296
